date,loblaw_price,loblaw_volume,metro_price,metro_volume,empa_price,empa_volume,gwl_price,gwl_volume,atd_price,atd_volume,tsx_price,tsx_volume,sp500_price,sp500_volume,BCPI,CPI,bank_interest,CEER,trend_grocery_store,trend_loblaws,trend_stock
1999-08-25,,,,,,,,,,,,,,,,,,99.39,,,
1999-08-26,,,,,,,,,,,,,,,,,,99.02,,,
1999-08-27,,,,,,,,,,,,,,,,,,99.72,,,
1999-08-30,,,,,,,,,,,,,,,,,,99.68,,,
1999-08-31,,,,,,,,,,,,,,,,,,99.09,,,
1999-09-01,,,,,,,,,,,,,,,,,,99.75,,,
1999-09-02,,,,,,,,,,,,,,,,,,99.08,,,
1999-09-03,,,,,,,,,,,,,,,,,,99.44,,,
1999-09-06,,,,,,,,,,,,,,,,,,99.44,,,
1999-09-07,,,,,,,,,,,,,,,,,,99.37,,,
1999-09-08,,,,,,,,,,,,,,,,,,99.73,,,
1999-09-09,,,,,,,,,,,,,,,,,,99.97,,,
1999-09-10,,,,,,,,,,,,,,,,,,100.58,,,
1999-09-13,,,,,,,,,,,,,,,,,,100.71,,,
1999-09-14,,,,,,,,,,,,,,,,,,100.43,,,
1999-09-15,,,,,,,,,,,,,,,,,,100.16,,,
1999-09-16,,,,,,,,,,,,,,,,,,100.27,,,
1999-09-17,,,,,,,,,,,,,,,,,,100.55,,,
1999-09-20,,,,,,,,,,,,,,,,,,100.13,,,
1999-09-21,,,,,,,,,,,,,,,,,,100.38,,,
1999-09-22,,,,,,,,,,,,,,,,,,100.53,,,
1999-09-23,,,,,,,,,,,,,,,,,,100.19,,,
1999-09-24,,,,,,,,,,,,,,,,,,100.29,,,
1999-09-27,,,,,,,,,,,,,,,,,,100.62,,,
1999-09-28,,,,,,,,,,,,,,,,,,101.06,,,
1999-09-29,,,,,,,,,,,,,,,,,,101.03,,,
1999-09-30,,,,,,,,,,,,,,,,,,100.56,,,
1999-10-01,,,,,,,,,,,,,,,,,,100.2,,,
1999-10-04,,,,,,,,,,,,,,,,,,100.48,,,
1999-10-05,,,,,,,,,,,,,,,,,,100.62,,,
1999-10-06,,,,,,,,,,,,,,,,,,100.59,,,
1999-10-07,,,,,,,,,,,,,,,,,,100.46,,,
1999-10-08,,,,,,,,,,,,,,,,,,100.41,,,
1999-10-11,,,,,,,,,,,,,,,,,,100.41,,,
1999-10-12,,,,,,,,,,,,,,,,,,100.09,,,
1999-10-13,,,,,,,,,,,,,,,,,,99.79,,,
1999-10-14,,,,,,,,,,,,,,,,,,99.72,,,
1999-10-15,,,,,,,,,,,,,,,,,,99.33,,,
1999-10-18,,,,,,,,,,,,,,,,,,98.69,,,
1999-10-19,,,,,,,,,,,,,,,,,,99.0,,,
1999-10-20,,,,,,,,,,,,,,,,,,99.16,,,
1999-10-21,,,,,,,,,,,,,,,,,,99.43,,,
1999-10-22,,,,,,,,,,,,,,,,,,100.11,,,
1999-10-25,,,,,,,,,,,,,,,,,,100.25,,,
1999-10-26,,,,,,,,,,,,,,,,,,100.51,,,
1999-10-27,,,,,,,,,,,,,,,,,,100.59,,,
1999-10-28,,,,,,,,,,,,,,,,,,100.59,,,
1999-10-29,,,,,,,,,,,,,,,,,,100.5,,,
1999-11-01,,,,,,,,,,,,,,,,,,100.76,,,
1999-11-02,,,,,,,,,,,,,,,,,,100.68,,,
1999-11-03,,,,,,,,,,,,,,,,,,100.75,,,
1999-11-04,,,,,,,,,,,,,,,,,,100.97,,,
1999-11-05,,,,,,,,,,,,,,,,,,101.32,,,
1999-11-08,,,,,,,,,,,,,,,,,,100.96,,,
1999-11-09,,,,,,,,,,,,,,,,,,100.45,,,
1999-11-10,,,,,,,,,,,,,,,,,,100.52,,,
1999-11-11,,,,,,,,,,,,,,,,,,100.52,,,
1999-11-12,,,,,,,,,,,,,,,,,,101.38,,,
1999-11-15,,,,,,,,,,,,,,,,,,101.09,,,
1999-11-16,,,,,,,,,,,,,,,,,,100.9,,,
1999-11-17,,,,,,,,,,,,,,,,,,100.87,,,
1999-11-18,,,,,,,,,,,,,,,,,,101.25,,,
1999-11-19,,,,,,,,,,,,,,,,,,101.37,,,
1999-11-22,,,,,,,,,,,,,,,,,,101.27,,,
1999-11-23,,,,,,,,,,,,,,,,,,101.09,,,
1999-11-24,,,,,,,,,,,,,,,,,,100.97,,,
1999-11-25,,,,,,,,,,,,,,,,,,100.88,,,
1999-11-26,,,,,,,,,,,,,,,,,,100.86,,,
1999-11-29,,,,,,,,,,,,,,,,,,100.49,,,
1999-11-30,,,,,,,,,,,,,,,,,,100.64,,,
1999-12-01,,,,,,,,,,,,,,,,,,100.64,,,
1999-12-02,,,,,,,,,,,,,,,,,,100.32,,,
1999-12-03,,,,,,,,,,,,,,,,,,100.33,,,
1999-12-06,,,,,,,,,,,,,,,,,,100.36,,,
1999-12-07,,,,,,,,,,,,,,,,,,100.25,,,
1999-12-08,,,,,,,,,,,,,,,,,,99.94,,,
1999-12-09,,,,,,,,,,,,,,,,,,100.36,,,
1999-12-10,,,,,,,,,,,,,,,,,,100.07,,,
1999-12-13,,,,,,,,,,,,,,,,,,100.09,,,
1999-12-14,,,,,,,,,,,,,,,,,,100.03,,,
1999-12-15,,,,,,,,,,,,,,,,,,99.94,,,
1999-12-16,,,,,,,,,,,,,,,,,,100.04,,,
1999-12-17,,,,,,,,,,,,,,,,,,100.19,,,
