ticker,exchange,name,market_value,sector,date_of_listing
BMO,TSX,Bank of Montreal,61694421238,Financial Services,1922-06-09
BNS,TSX,Bank of Nova Scotia (The),88658513991,Financial Services,1919-05-16
ABX,TSX,Barrick Gold Corporation,45236386451,Mining,1983-05-02
BHC,TSX,Bausch Health Companies Inc.,9922613268,Life Sciences,1987-06-29
BTE,TSX,Baytex Energy Corp.,959623764,Oil & Gas,1994-12-21
BCE,TSX,BCE Inc.,58993426205,Comm & Media,1905-07-11
BEK,TSX,Becker Milk Company Ltd. (The),17531046,Real Estate,1967-05-25
BXE,TSX,Bellatrix Exploration Ltd.,16753854,Oil & Gas,1997-06-19
BLU,TSX,BELLUS Health Inc.,412820612,Life Sciences,2000-06-21
BR,TSX,Big Rock Brewery Inc.,39446198,Consumer Products & Services,1997-02-25
BB,TSX,BlackBerry Limited,5638815789,Technology,1997-10-28
RBN,TSX,Blue Ribbon Income Fund,113862795,Closed-End Funds,1997-09-16
GBT,TSX,BMTC Group Inc.,358350355,Consumer Products & Services,1999-12-06
BEI,TSX,Boardwalk Real Estate Investment Trust,2042490214,Real Estate,1995-11-06
BBD,TSX,Bombardier Inc.,4501645678,Industrial Products & Services,1946-05-02
BNP,TSX,Bonavista Energy Corporation,138975928,Oil & Gas,1993-08-05
BNE,TSX,Bonterra Energy Corp.,139231279,Oil & Gas,2001-07-04
BLX,TSX,Boralex Inc.,1999256573,Clean Technology,1999-12-06
BPF,TSX,Boston Pizza Royalties Income Fund,375403156,Consumer Products & Services,2002-07-16
BYD,TSX,Boyd Group Income Fund,3539337913,Industrial Products & Services,1999-11-16
BBL,TSX,Brampton Brick Limited,57872019,Industrial Products & Services,1986-11-13
BRE,TSX,Bridgemarq Real Estate Services Inc.,131066807,Real Estate,2003-08-06
BAM,TSX,Brookfield Asset Management Inc.,71667912771,Financial Services,1979-08-20
BPO,TSX,Brookfield Office Properties Inc.,1820328237,Real Estate,1985-06-27
BEP,TSX,Brookfield Renewable Partners L.P.,9963673251,Clean Technology,1999-11-18
BUI,TSX,Buhler Industries Inc.,66000000,Industrial Products & Services,1988-08-04
CAE,TSX,CAE Inc.,9277729711,Technology,1961-03-20
CWL,TSX,Caldwell Partners International Inc. (The),26117827,Industrial Products & Services,1989-06-27
CAL,TSX,Caledonia Mining Corporation Plc,100511602,Mining,1987-06-23
